ID,Code,LongDescription
927,"15836","Excision, excessive skin and subcutaneous tissue (includes lipectomy); arm"
928,"15837","Excision, excessive skin and subcutaneous tissue (includes lipectomy); forearm or hand"
929,"15838","Excision, excessive skin and subcutaneous tissue (includes lipectomy); submental fat pad"
930,"15839","Excision, excessive skin and subcutaneous tissue (includes lipectomy); other area"
931,"15840","Graft for facial nerve paralysis; free fascia graft (including obtaining fascia)"
932,"15841","Graft for facial nerve paralysis; free muscle graft (including obtaining graft)"
933,"15842","Graft for facial nerve paralysis; free muscle flap by microsurgical technique"
934,"15845","Graft for facial nerve paralysis; regional muscle transfer"
935,"15787","Abrasion; each additional 4 lesions or less (List separately in addition to code for primary procedure)"
936,"15850","Removal of sutures under anesthesia (other than local), same surgeon"
937,"15851","Removal of sutures under anesthesia (other than local), other surgeon"
938,"15610","Delay of flap or sectioning of flap (division and inset); at scalp, arms, or legs"
939,"15860","Intravenous injection of agent (eg, fluorescein) to test vascular flow in flap or graft"
940,"15620","Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet"
941,"15630","Delay of flap or sectioning of flap (division and inset); at eyelids, nose, ears, or lips"
942,"15650","Transfer, intermediate, of any pedicle flap (eg, abdomen to wrist, Walking tube), any location"
943,"15731","Forehead flap with preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead flap)"
944,"15920","Excision, coccygeal pressure ulcer, with coccygectomy; with primary suture"
945,"15732","Muscle, myocutaneous, or fasciocutaneous flap; head and neck (eg, temporalis, masseter muscle, sternocleidomastoid, levator scapulae)"
946,"15734","Muscle, myocutaneous, or fasciocutaneous flap; trunk"
947,"15736","Muscle, myocutaneous, or fasciocutaneous flap; upper extremity"
948,"15788","Chemical peel, facial; epidermal"
949,"15789","Chemical peel, facial; dermal"
950,"15792","Chemical peel, nonfacial; epidermal"
951,"15793","Chemical peel, nonfacial; dermal"
952,"15819","Cervicoplasty"
953,"15820","Blepharoplasty, lower eyelid;"
954,"15821","Blepharoplasty, lower eyelid; with extensive herniated fat pad"
955,"15822","Blepharoplasty, upper eyelid;"
956,"15823","Blepharoplasty, upper eyelid; with excessive skin weighting down lid"
957,"15824","Removal of forehead wrinkles"
958,"15825","Removal of neck wrinkles"
959,"15826","Removal of brow wrinkles"
960,"15828","Removal of face wrinkles"
961,"15829","Removal of skin wrinkles"
962,"15831","Excision, excessive skin and subcutaneous tissue (including lipectomy); abdomen (abdominoplasty)"
963,"15847","Exc skin abd add-on"
964,"15852","Dressing change not for burn"
965,"15876","Suction assisted lipectomy"
966,"15877","Suction assisted lipectomy"
967,"15878","Suction assisted lipectomy"
968,"15879","Suction assisted lipectomy"
969,"15935","Excision, sacral pressure ulcer, with skin flap closure; with ostectomy"
970,"15936","Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure;"
971,"15937","Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; with ostectomy"
972,"15940","Excision, ischial pressure ulcer, with primary suture;"
973,"15941","Excision, ischial pressure ulcer, with primary suture; with ostectomy (ischiectomy)"
974,"15944","Excision, ischial pressure ulcer, with skin flap closure;"
975,"15945","Excision, ischial pressure ulcer, with skin flap closure; with ostectomy"
976,"15946","Excision, ischial pressure ulcer, with ostectomy, in preparation for muscle or myocutaneous flap or skin graft closure"
977,"15950","Excision, trochanteric pressure ulcer, with primary suture;"
978,"15951","Excision, trochanteric pressure ulcer, with primary suture; with ostectomy"
979,"15952","Excision, trochanteric pressure ulcer, with skin flap closure;"
980,"15953","Excision, trochanteric pressure ulcer, with skin flap closure; with ostectomy"
981,"15956","Excision, trochanteric pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure;"
982,"15958","Excision, trochanteric pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure; with ostectomy"
983,"16000","Initial treatment, first degree burn, when no more than local treatment is required"
984,"16020","Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)"
985,"16025","Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area)"
986,"16030","Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area)"
987,"16035","Escharotomy; initial incision"
988,"15922","Excision, coccygeal pressure ulcer, with coccygectomy; with flap closure"
989,"15931","Excision, sacral pressure ulcer, with primary suture;"
990,"15933","Excision, sacral pressure ulcer, with primary suture; with ostectomy"
991,"15934","Excision, sacral pressure ulcer, with skin flap closure;"
992,"17000","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses); first lesion"
993,"17282","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
994,"17283","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm"
995,"17284","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm"
996,"17286","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm"
997,"17003","Destruct premalg les 2-14"
998,"17004","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses), 15 or more lesions"
999,"17106","Destruction of cutaneous vascular proliferative lesions (eg, laser technique); less than 10 sq cm"
1000,"17107","Destruction of cutaneous vascular proliferative lesions (eg, laser technique); 10.0 to 50.0 sq cm"
1001,"17108","Destruction of cutaneous vascular proliferative lesions (eg, laser technique); over 50.0 sq cm"
1002,"17311","Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s)(eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks"
1003,"17312","Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s)(eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
1004,"17313","Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s)(eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; first stage, up to 5 tissue blocks"
1005,"17314","Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s)(eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
1006,"17315","Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s)(eg, hematoxylin and eosin, toluidine blue), each additional block after the first 5 tissue blocks, any stage (List separately in addition to code for primary procedure)"
1007,"17340","Cryotherapy (CO2 slush, liquid N2) for acne"
1008,"17110","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions"
1009,"17111","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
1010,"17250","Chemical cauterization of granulation tissue (proud flesh, sinus or fistula)"
1011,"17260","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.5 cm or less"
1012,"17261","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
1013,"17262","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
1014,"17263","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm"
1015,"17264","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm"
1016,"15999","Removal of pressure sore"
1017,"17266","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter over 4.0 cm"
1018,"17270","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
1019,"17271","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
1020,"17272","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
1021,"17273","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm"
1022,"16036","Escharotomy; each additional incision (List separately in addition to code for primary procedure)"
1023,"17274","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm"
1024,"17276","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm"
